0bps 19.96Kbps 9.06Kbps 3.14Kbps 3.1Kbps 11.61Kbps 18.19Kbps 24.54Kbps 21.3Kbps 24.71Kbps 12.45Kbps 10.87Kbps 25.79Kbps 5.33Kbps 19.27Kbps 4.37Kbps 6.4Kbps 7.87Kbps 5.23Kbps 5.47Kbps 16.03Kbps 9.73Kbps 17.74Kbps
3.74Kbps 0bps 23.26Kbps 2.87Kbps 20.85Kbps 3.52Kbps 18.09Kbps 23.32Kbps 5.9Kbps 11.7Kbps 15.67Kbps 3.68Kbps 14.19Kbps 10.0Kbps 22.86Kbps 24.8Kbps 4.24Kbps 21.76Kbps 21.03Kbps 5.93Kbps 11.07Kbps 17.75Kbps 697.99bps
19.87Kbps 12.07Kbps 0bps 25.0Kbps 511.32bps 9.92Kbps 25.06Kbps 8.19Kbps 15.33Kbps 2.95Kbps 13.34Kbps 22.62Kbps 19.11Kbps 16.87Kbps 12.78Kbps 6.27Kbps 21.15Kbps 2.16Kbps 17.71Kbps 21.64Kbps 8.67Kbps 25.3Kbps 12.55Kbps
11.49Kbps 24.91Kbps 5.21Kbps 0bps 1.34Kbps 9.45Kbps 22.47Kbps 22.45Kbps 3.72Kbps 17.67Kbps 14.52Kbps 4.72Kbps 25.42Kbps 13.38Kbps 9.88Kbps 18.84Kbps 2.58Kbps 10.77Kbps 18.5Kbps 3.14Kbps 25.02Kbps 17.02Kbps 21.67Kbps
15.44Kbps 1.04Kbps 19.82Kbps 25.27Kbps 0bps 8.5Kbps 4.72Kbps 15.04Kbps 19.94Kbps 20.09Kbps 1.43Kbps 15.44Kbps 22.36Kbps 5.07Kbps 16.66Kbps 22.62Kbps 9.51Kbps 12.03Kbps 20.97Kbps 20.2Kbps 13.5Kbps 6.92Kbps 10.17Kbps
25.66Kbps 20.09Kbps 15.44Kbps 25.31Kbps 25.5Kbps 0bps 5.07Kbps 20.86Kbps 9.29Kbps 13.12Kbps 10.74Kbps 12.95Kbps 4.32Kbps 9.27Kbps 16.37Kbps 8.87Kbps 20.85Kbps 20.71Kbps 8.35Kbps 20.03Kbps 8.08Kbps 23.81Kbps 9.26Kbps
9.11Kbps 11.13Kbps 12.39Kbps 273.48bps 14.85Kbps 15.04Kbps 0bps 11.26Kbps 24.14Kbps 5.82Kbps 4.79Kbps 1.2Kbps 21.63Kbps 13.82Kbps 2.12Kbps 1.59Kbps 10.73Kbps 3.14Kbps 7.38Kbps 18.46Kbps 24.38Kbps 8.43Kbps 1.9Kbps
22.06Kbps 294.94bps 22.09Kbps 7.32Kbps 924.0bps 11.4Kbps 19.4Kbps 0bps 11.12Kbps 1.13Kbps 15.43Kbps 756.0bps 7.94Kbps 5.4Kbps 14.67Kbps 7.06Kbps 1.31Kbps 23.6Kbps 15.78Kbps 13.96Kbps 15.14Kbps 5.99Kbps 2.35Kbps
25.69Kbps 10.54Kbps 22.14Kbps 23.15Kbps 20.5Kbps 1.38Kbps 15.6Kbps 11.12Kbps 0bps 1.81Kbps 12.85Kbps 10.78Kbps 18.75Kbps 2.47Kbps 17.16Kbps 882.0bps 707.0bps 17.46Kbps 12.87Kbps 21.73Kbps 13.12Kbps 24.04Kbps 2.87Kbps
12.24Kbps 1.29Kbps 19.88Kbps 11.38Kbps 2.77Kbps 21.34Kbps 14.01Kbps 5.82Kbps 18.71Kbps 0bps 5.88Kbps 22.64Kbps 13.01Kbps 21.94Kbps 19.0Kbps 18.26Kbps 8.69Kbps 12.52Kbps 16.35Kbps 12.57Kbps 3.82Kbps 2.82Kbps 24.73Kbps
19.99Kbps 18.23Kbps 23.93Kbps 21.69Kbps 3.31Kbps 18.19Kbps 8.11Kbps 14.0Kbps 3.4Kbps 19.03Kbps 0bps 25.41Kbps 5.73Kbps 21.97Kbps 20.55Kbps 8.04Kbps 15.78Kbps 4.89Kbps 12.29Kbps 24.16Kbps 19.66Kbps 69.05bps 22.76Kbps
