0bps 9.33Kbps 4.25Kbps 3.38Kbps 770.88bps 3.65Kbps 3.02Kbps 4.13Kbps 2.42Kbps 10.92Kbps 10.02Kbps 6.69Kbps 11.04Kbps 4.48Kbps 2.9Kbps 9.22Kbps 1.75Kbps 2.56Kbps 5.33Kbps 9.54Kbps 11.02Kbps 4.9Kbps 10.78Kbps
8.39Kbps 0bps 54.71Kbps 10.19Kbps 6.02Kbps 4.74Kbps 11.32Kbps 3.41Kbps 4.39Kbps 249.87bps 9.99Kbps 51.87Kbps 5.66Kbps 936.86bps 46.04Kbps 8.13Kbps 7.93Kbps 9.91Kbps 7.04Kbps 37.34Kbps 41.11Kbps 8.54Kbps 6.24Kbps
10.03Kbps 2.47Kbps 0bps 2.82Kbps 3.31Kbps 2.08Kbps 4.51Kbps 5.05Kbps 5.11Kbps 31.93Kbps 10.59Kbps 56.88Kbps 9.8Kbps 39.24Kbps 24.04Kbps 8.34Kbps 6.13Kbps 2.39Kbps 7.06Kbps 48.55Kbps 10.79Kbps 51.61Kbps 36.03Kbps
9.51Kbps 1.75Kbps 4.93Kbps 0bps 4.75Kbps 8.61Kbps 11.22Kbps 10.54Kbps 1.5Kbps 9.54Kbps 91.2bps 10.15Kbps 9.61Kbps 7.79Kbps 6.32Kbps 9.28Kbps 3.26Kbps 6.09Kbps 5.97Kbps 3.9Kbps 1.98Kbps 4.01Kbps 187.01bps
6.42Kbps 8.63Kbps 3.81Kbps 3.44Kbps 0bps 3.62Kbps 9.74Kbps 2.33Kbps 1.35Kbps 4.57Kbps 9.53Kbps 9.09Kbps 3.57Kbps 6.77Kbps 6.03Kbps 8.34Kbps 2.14Kbps 1.26Kbps 8.57Kbps 9.49Kbps 8.08Kbps 3.1Kbps 872.59bps
10.77Kbps 1.15Kbps 7.18Kbps 620.99bps 10.52Kbps 0bps 6.06Kbps 4.03Kbps 6.27Kbps 119.52bps 4.89Kbps 7.57Kbps 9.24Kbps 3.8Kbps 5.46Kbps 2.28Kbps 7.49Kbps 11.33Kbps 6.57Kbps 8.42Kbps 4.82Kbps 1.53Kbps 5.08Kbps
5.54Kbps 9.02Kbps 11.36Kbps 60.86bps 6.72Kbps 10.26Kbps 0bps 8.01Kbps 8.73Kbps 10.39Kbps 452.36bps 7.15Kbps 10.85Kbps 11.4Kbps 10.62Kbps 803.0bps 1.46Kbps 10.55Kbps 7.66Kbps 4.58Kbps 3.39Kbps 872.59bps 10.88Kbps
6.92Kbps 1.52Kbps 10.62Kbps 7.11Kbps 7.5Kbps 7.24Kbps 1.94Kbps 0bps 5.94Kbps 7.1Kbps 1.22Kbps 7.44Kbps 5.86Kbps 9.91Kbps 4.4Kbps 1.43Kbps 4.13Kbps 4.2Kbps 8.85Kbps 9.75Kbps 5.88Kbps 4.36Kbps 1.75Kbps
1.96Kbps 6.05Kbps 8.38Kbps 7.9Kbps 10.47Kbps 10.11Kbps 9.55Kbps 8.4Kbps 0bps 786.94bps 10.14Kbps 7.78Kbps 888.65bps 7.18Kbps 8.68Kbps 4.43Kbps 10.55Kbps 5.13Kbps 5.34Kbps 4.02Kbps 7.85Kbps 3.88Kbps 8.11Kbps
4.79Kbps 16.92Kbps 44.78Kbps 5.54Kbps 5.27Kbps 2.66Kbps 10.85Kbps 4.87Kbps 4.56Kbps 0bps 11.19Kbps 14.05Kbps 9.35Kbps 49.2Kbps 22.19Kbps 5.26Kbps 3.19Kbps 10.82Kbps 7.06Kbps 52.38Kbps 36.96Kbps 47.0Kbps 34.45Kbps
9.23Kbps 9.04Kbps 7.22Kbps 10.88Kbps 8.96Kbps 10.51Kbps 11.25Kbps 10.36Kbps 7.16Kbps 382.76bps 0bps 5.1Kbps 1.07Kbps 3.87Kbps 9.59Kbps 6.93Kbps 10.47Kbps 5.61Kbps 1.85Kbps 9.02Kbps 9.15Kbps 1.51Kbps 9.92Kbps
