0bps 20.55Kbps 8.16Kbps 6.83Kbps 6.81Kbps 4.26Kbps 12.41Kbps 14.39Kbps 845.0bps 15.78Kbps 15.2Kbps 15.98Kbps 14.98Kbps 19.16Kbps 16.72Kbps 7.48Kbps 981.5bps 17.93Kbps 19.25Kbps 4.29Kbps 17.44Kbps 17.67Kbps 11.44Kbps
806.0bps 0bps 15.78Kbps 877.5bps 351.72bps 8.64Kbps 16.39Kbps 9.42Kbps 1.68Kbps 6.61Kbps 12.32Kbps 19.37Kbps 6.0Kbps 6.71Kbps 21.11Kbps 988.0bps 17.58Kbps 18.96Kbps 13.95Kbps 13.88Kbps 16.97Kbps 4.43Kbps 6.38Kbps
15.8Kbps 20.88Kbps 0bps 6.44Kbps 8.46bps 1.12Kbps 13.76Kbps 10.35Kbps 11.83Kbps 12.19Kbps 19.71Kbps 5.64Kbps 1.57Kbps 13.97Kbps 2.89Kbps 18.66Kbps 13.31Kbps 14.75Kbps 10.41Kbps 8.68Kbps 11.71Kbps 10.72Kbps 14.95Kbps
20.96Kbps 15.48Kbps 2.95Kbps 0bps 4.3Kbps 21.06Kbps 15.06Kbps 243.09bps 14.06Kbps 1.2Kbps 11.72Kbps 15.99Kbps 20.47Kbps 20.09Kbps 15.14Kbps 21.01Kbps 14.18Kbps 14.96Kbps 4.04Kbps 656.5bps 16.28Kbps 9.37Kbps 9.14Kbps
15.16Kbps 12.15Kbps 10.37Kbps 10.69Kbps 0bps 14.78Kbps 15.29Kbps 13.13Kbps 15.07Kbps 8.99Kbps 9.74Kbps 12.82Kbps 8.53Kbps 3.14Kbps 12.53Kbps 18.87Kbps 695.5bps 21.24Kbps 4.59Kbps 3.33Kbps 20.92Kbps 10.91Kbps 10.22Kbps
14.84Kbps 4.73Kbps 10.78Kbps 4.8Kbps 20.25Kbps 0bps 8.98Kbps 5.25Kbps 8.34Kbps 18.6Kbps 6.96Kbps 10.49Kbps 1.12Kbps 4.86Kbps 7.53Kbps 14.63Kbps 15.02Kbps 11.86Kbps 13.76Kbps 7.14Kbps 16.97Kbps 8.47Kbps 21.05Kbps
10.75Kbps 16.56Kbps 12.31Kbps 19.06Kbps 16.5Kbps 890.5bps 0bps 17.15Kbps 20.02Kbps 20.91Kbps 8.52Kbps 13.7Kbps 2.92Kbps 4.53Kbps 424.45bps 13.64Kbps 9.31Kbps 18.17Kbps 17.57bps 6.47Kbps 20.8Kbps 526.18bps 11.99Kbps
15.21Kbps 11.67Kbps 640.89bps 19.89Kbps 6.49Kbps 9.56Kbps 2.52Kbps 0bps 2.17Kbps 14.76Kbps 3.05Kbps 13.85Kbps 8.25Kbps 13.59Kbps 11.29Kbps 20.73Kbps 8.9Kbps 6.99Kbps 7.1Kbps 5.15Kbps 7.23Kbps 17.88Kbps 14.53Kbps
11.83Kbps 16.76Kbps 2.29Kbps 1.99Kbps 14.32Kbps 13.59Kbps 17.34Kbps 16.0Kbps 0bps 17.16Kbps 10.76Kbps 1.36Kbps 7.92Kbps 15.76Kbps 20.49Kbps 10.18Kbps 14.7Kbps 4.24Kbps 14.31Kbps 6.04Kbps 20.72Kbps 19.51Kbps 7.73Kbps
16.83Kbps 8.76Kbps 9.24Kbps 13.08Kbps 13.1Kbps 16.53Kbps 18.77Kbps 13.7Kbps 20.45Kbps 0bps 18.88Kbps 18.15Kbps 2.63Kbps 511.52bps 14.5Kbps 18.0Kbps 13.71Kbps 8.43Kbps 7.95Kbps 16.28Kbps 19.75Kbps 16.84Kbps 12.04Kbps
1.36Kbps 11.61Kbps 15.09Kbps 8.11Kbps 13.39Kbps 10.08Kbps 9.8Kbps 11.89Kbps 6.71Kbps 7.24Kbps 0bps 4.34Kbps 15.83Kbps 21.07Kbps 4.65Kbps 13.05Kbps 15.3Kbps 5.75Kbps 8.33Kbps 15.52Kbps 2.94Kbps 19.97Kbps 17.25Kbps
15.66Kbps 18.28Kbps 16.35Kbps 9.03Kbps 9.65Kbps 4.02Kbps 5.71Kbps 5.06Kbps 8.55Kbps 1.98Kbps 18.75Kbps 0bps 5.77Kbps 2.9Kbps 4.67Kbps 14.85Kbps 17.55Kbps 10.48Kbps 17.26Kbps 13.99Kbps 19.82Kbps 8.85Kbps 14.96Kbps
20.15Kbps 4.56Kbps 6.99Kbps 18.93Kbps 10.43Kbps 206.34bps 21.11Kbps 15.18Kbps 15.63Kbps 1.84Kbps 18.52Kbps 20.62Kbps 0bps 20.07Kbps 8.79Kbps 16.51Kbps 12.95Kbps 7.78Kbps 4.16Kbps 14.59Kbps 17.11Kbps 2.88Kbps 19.96Kbps
15.44Kbps 15.03Kbps 5.63Kbps 459.36bps 13.39Kbps 2.73Kbps 361.76bps 13.37Kbps 8.33Kbps 13.05Kbps 11.32Kbps 14.9Kbps 3.15Kbps 0bps 21.02Kbps 12.4Kbps 19.82Kbps 8.99Kbps 605.5bps 16.04Kbps 1.64Kbps 6.17Kbps 3.71Kbps
